pokedex_number;name;german_name;generation;status;species;type_number;type_1;type_2;height_m;weight_kg;hp;attack;defense;sp_attack;sp_defense;speed;catch_rate;percentage_male;egg_cycles;against_normal;against_fire;against_water;against_electric;against_grass;against_ice;against_fight;against_poison;against_ground;against_flying;against_psychic;against_bug;against_rock;against_ghost;against_dragon;against_dark;against_steel;against_fairy
1;Bulbasaur;Bisasam;1;Normal;Seed;2;Grass;Poison;0.7;6.9;45;49;49;65;65;45;45;87.5;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
2;Ivysaur;Bisaknosp;1;Normal;Seed;2;Grass;Poison;1.0;13.0;60;62;63;80;80;60;45;87.5;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
3;Venusaur;Bisaflor;1;Normal;Seed;2;Grass;Poison;2.0;100.0;80;82;83;100;100;80;45;87.5;20;1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5
3;Mega Venusaur;Bisaflor;1;Normal;Seed;2;Grass;Poison;2.4;155.5;80;100;123;122;120;80;45;87.5;20;1;1;0.5;0.5;0.25;1;0.5;1;1;2;2;1;1;1;1;1;1;0.5
4;Charmander;Glumanda;1;Normal;Lizard;1;Fire;;0.6;8.5;39;52;43;60;50;65;45;87.5;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
5;Charmeleon;Glutexo;1;Normal;Flame;1;Fire;;1.1;19.0;58;64;58;80;65;80;45;87.5;20;1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5
6;Charizard;Glurak;1;Normal;Flame;2;Fire;Flying;1.7;90.5;78;84;78;109;85;100;45;87.5;20;1;0.5;2;2;0.25;1;0.5;1;0;1;1;0.25;4;1;1;1;0.5;0.5
6;Mega Charizard X;Glurak;1;Normal;Flame;2;Fire;Dragon;1.7;110.5;78;130;111;130;85;100;45;87.5;20;1;0.25;1;0.5;0.25;1;1;1;2;1;1;0.5;2;1;2;1;0.5;1
6;Mega Charizard Y;Glurak;1;Normal;Flame;2;Fire;Flying;1.7;100.5;78;104;78;159;115;100;45;87.5;20;1;0.5;2;2;0.25;1;0.5;1;0;1;1;0.25;4;1;1;1;0.5;0.5
7;Squirtle;Schiggy;1;Normal;Tiny Turtle;1;Water;;0.5;9.0;44;48;65;50;64;43;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
8;Wartortle;Schillok;1;Normal;Turtle;1;Water;;1.0;22.5;59;63;80;65;80;58;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
9;Blastoise;Turtok;1;Normal;Shellfish;1;Water;;1.6;85.5;79;83;100;85;105;78;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
9;Mega Blastoise;Turtok;1;Normal;Shellfish;1;Water;;1.6;101.1;79;103;120;135;115;78;45;87.5;20;1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1
10;Caterpie;Raupy;1;Normal;Worm;1;Bug;;0.3;2.9;45;30;35;20;20;45;255;50.0;15;1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1
11;Metapod;Safcon;1;Normal;Cocoon;1;Bug;;0.7;9.9;50;20;55;25;25;30;120;50.0;15;1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1
